,,account_id,average_price,direction,exchange,frozen,instrument,position,position_profit,yesterday_position
2018-01-29,153,test0_12940567,8.712613,,SH,100,601390,100,-1.2612999999999985,0
2018-01-29,154,test0_12940567,73.392011,,SH,100,601318,100,-3.2010999999997125,0
2018-01-29,155,test0_12940567,6.932079,,SH,100,601328,100,-1.207899999999995,0
2018-01-29,156,test0_12940567,22.126635999999998,,SH,100,600030,100,-1.6635999999998319,0
2018-01-29,157,test0_12940567,12.523755999999999,,SH,100,601633,100,-1.3755999999998991,0
2018-01-29,158,test0_12940567,17.215163,,SH,100,600373,100,-1.5163000000001148,0
2018-01-29,159,test0_12940567,13.173950999999999,,SZ,100,000625,100,-1.3950999999998714,0
2018-01-29,160,test0_12940567,20.306089999999998,,SH,100,600663,100,-1.6089999999998383,0
2018-01-29,161,test0_12940567,30.339099,,SH,100,601628,100,-1.9099000000000643,0
2018-01-29,162,test0_12940567,31.079321,,SZ,100,002624,100,-1.9321000000001476,0
2018-01-29,163,test0_12940567,20.80624,,SH,100,600690,100,-1.623999999999981,0
2018-01-29,164,test0_12940567,18.075421,,SH,100,600739,100,-1.5420999999999907,0
2018-01-29,165,test0_12940567,10.083024,,SH,100,601006,100,-1.3023999999999702,0
2018-01-29,166,test0_12940567,65.0195,,SZ,100,000423,100,-2.949999999999875,0
2018-01-29,167,test0_12940567,28.968687999999997,,SZ,100,300124,100,-1.8687999999997373,0
2018-01-29,168,test0_12940567,16.975091000000003,,SH,100,601997,100,-1.5091000000001742,0
2018-01-29,169,test0_12940567,17.795337000000004,,SH,100,600406,100,-1.5337000000002377,0
2018-01-29,170,test0_12940567,10.513152999999999,,SH,100,601668,100,-1.3152999999999082,0
2018-01-29,171,test0_12940567,36.57096799999999,,SH,100,600535,100,-2.0967999999996323,0
2018-01-29,172,test0_12940567,19.515853000000003,,SZ,100,002142,100,-1.5853000000003448,0
2018-01-29,173,test0_12940567,9.762927999999999,,SZ,100,002500,100,-1.2927999999998718,0
2018-01-29,174,test0_12940567,5.051515,,SH,100,601899,100,-1.1515000000000164,0
2018-01-29,175,test0_12940567,20.386114000000003,,SH,100,601211,100,-1.6114000000001738,0
2018-01-29,176,test0_12940567,52.175648,,SZ,100,002508,100,-2.564800000000389,0
2018-01-29,177,test0_12940567,8.372510999999998,,SH,100,600820,100,-1.2510999999998162,0
2018-01-29,178,test0_12940567,55.80673699999999,,SZ,100,000651,100,-2.673699999999002,0
2018-01-29,179,test0_12940567,16.354905000000002,,SH,100,600383,100,-1.4905000000002389,0
2018-01-29,180,test0_12940567,50.205057,,SZ,100,002008,100,-2.5056999999996776,0
2018-01-29,181,test0_12940567,10.453135,,SZ,100,000069,100,-1.3135000000000119,0
2018-01-29,182,test0_12940567,4.2412719999999995,,SH,100,601991,100,-1.127199999999906,0
2018-01-29,183,test0_12940567,10.523155999999998,,SZ,100,002797,100,-1.3155999999998613,0
2018-01-29,184,test0_12940567,13.814143,,SZ,100,300251,100,-1.4142999999998906,0
