,,cancel_time,deal_volume,direction,exchange,frond_id,instrument,offset,order_id,order_price,order_time,price_type,session_id,status,total_volume
2018-01-29,98,,100,,SZ,,300124,open,order_09654137,28.95,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,99,,100,,SZ,,300033,open,order_74902865,61.0,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,100,,100,,SH,,600276,open,order_45617820,73.24,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,101,,100,,SH,,600061,open,order_38421976,13.88,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,102,,100,,SH,,601608,open,order_85049672,4.15,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,103,,100,,SZ,,000625,open,order_83256140,13.16,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,104,,100,,SZ,,300072,open,order_79231086,39.35,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,105,,100,,SZ,,002714,open,order_01457386,60.3,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,106,,100,,SZ,,000002,open,order_82461539,38.57,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,107,,100,,SH,,601216,open,order_21389476,4.71,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,108,,100,,SZ,,000157,open,order_12307869,4.55,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,109,,100,,SH,,601186,open,order_90674382,12.0,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,110,,100,,SZ,,300251,open,order_02386175,13.8,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,111,,100,,SZ,,002142,open,order_65038241,19.5,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,112,,100,,SH,,600019,open,order_32680451,10.01,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,113,,100,,SH,,601377,open,order_40192765,7.77,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,114,,100,,SH,,601288,open,order_06542319,4.51,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,115,,100,,SH,,600663,open,order_92435170,20.29,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,116,,100,,SH,,600089,open,order_78135402,9.92,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,117,,100,,SH,,601800,open,order_58972016,14.65,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,118,,100,,SZ,,000630,open,order_84671052,2.88,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,119,,100,,SH,,601633,open,order_13462975,12.51,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,120,,100,,SH,,601933,open,order_75263489,11.2,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,121,,100,,SH,,600373,open,order_78563940,17.2,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,122,,100,,SH,,600804,open,order_98653207,16.79,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,123,,100,,SZ,,300315,open,order_84206157,6.7,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,124,,100,,SZ,,002673,open,order_52139807,13.03,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,125,,100,,SH,,600519,open,order_91726845,736.32,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,126,,100,,SH,,601899,open,order_34850192,5.04,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,127,,100,,SH,,601939,open,order_16859274,9.52,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,128,,100,,SH,,603993,open,order_49382506,7.82,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,129,,100,,SZ,,000338,open,order_42693501,9.05,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,130,,100,,SH,,600549,open,order_37802915,25.53,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,131,,100,,SH,,601169,open,order_62871035,7.61,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,132,,100,,SZ,,002797,open,order_40813762,10.51,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,133,,100,,SZ,,002736,open,order_82396405,13.3,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,134,,100,,SH,,600104,open,order_14562378,34.46,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,135,,100,,SZ,,000333,open,order_06841235,59.87,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,136,,100,,SH,,601788,open,order_96734821,14.94,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,137,,100,,SZ,,002500,open,order_91804753,9.75,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,138,,100,,SZ,,000898,open,order_98136045,7.3,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,139,,100,,SZ,,002572,open,order_73508496,37.21,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,140,,100,,SZ,,002601,open,order_47813259,17.41,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,141,,100,,SZ,,002624,open,order_21865309,31.06,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,142,,100,,SZ,,300003,open,order_25794038,26.17,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,143,,100,,SZ,,300015,open,order_73269401,34.9,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,144,,100,,SZ,,300122,open,order_97036518,30.11,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,145,,100,,SH,,600011,open,order_82946307,6.48,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,146,,100,,SH,,600390,open,order_02591784,11.85,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,147,,100,,SH,,601012,open,order_60319472,37.6,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,148,,100,,SH,,601212,open,order_75018349,7.0,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,149,,100,,SH,,601228,open,order_62879534,6.45,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,150,,100,,SH,,601878,open,order_36524087,17.32,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,151,,100,,SH,,601898,open,order_78926504,6.34,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,152,,100,,SH,,601991,open,order_29703145,4.23,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,153,,100,,SH,,603799,open,order_23409167,101.98,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,154,,100,,SH,,603833,open,order_51048967,135.41,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,155,,100,,SZ,,002008,open,order_76582439,50.18,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,156,,100,,SH,,601727,open,order_85967314,6.73,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,157,,100,,SZ,,000858,open,order_67102458,82.08,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,158,,100,,SZ,,000728,open,order_64925138,11.23,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,159,,100,,SH,,600816,open,order_09452176,13.0,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,160,,100,,SZ,,002024,open,order_31260849,13.38,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,161,,100,,SZ,,000060,open,order_89145670,11.82,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,162,,100,,SH,,600837,open,order_85024617,14.14,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,163,,100,,SH,,601009,open,order_53687190,9.71,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,164,,100,,SH,,600739,open,order_83574290,18.06,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,165,,100,,SH,,600637,open,order_43507281,17.48,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,166,,100,,SZ,,000709,open,order_87451260,4.16,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,167,,100,,SH,,601155,open,order_35197024,43.54,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,168,,100,,SH,,600547,open,order_43725169,32.38,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,169,,100,,SH,,601111,open,order_23548701,13.22,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,170,,100,,SZ,,300017,open,order_37892564,13.13,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,171,,100,,SZ,,000001,open,order_68294037,13.74,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,172,,100,,SH,,600489,open,order_87392150,9.92,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,173,,100,,SH,,600376,open,order_34081295,10.71,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,174,,100,,SH,,600015,open,order_47213658,9.94,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,175,,100,,SH,,600795,open,order_51643207,3.25,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,176,,100,,SH,,601989,open,order_86347205,6.22,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,177,,100,,SH,,600010,open,order_38516247,2.54,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,178,,100,,SZ,,300024,open,order_94531802,19.84,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,179,,100,,SH,,601985,open,order_51837924,7.61,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,180,,100,,SZ,,000651,open,order_04517328,55.78,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,181,,100,,SH,,601198,open,order_46207938,15.34,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,182,,100,,SH,,600705,open,order_58790163,5.7,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,183,,100,,SZ,,002153,open,order_62408539,25.45,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,184,,100,,SH,,600048,open,order_94673210,16.98,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,185,,100,,SH,,600036,open,order_74651920,32.98,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,186,,100,,SH,,601919,open,order_03561947,7.24,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,187,,100,,SH,,601118,open,order_15968742,6.42,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,188,,100,,SH,,601901,open,order_19852376,7.23,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,189,,100,,SZ,,000623,open,order_14350862,23.05,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,190,,100,,SZ,,000671,open,order_75394821,10.33,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,191,,100,,SZ,,000750,open,order_32095618,5.13,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,192,,100,,SH,,601958,open,order_02935486,7.74,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,193,,100,,SH,,600115,open,order_75903826,8.37,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,194,,100,,SH,,600704,open,order_23756908,7.28,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,195,,100,,SH,,601166,open,order_92345017,18.94,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,196,,100,,SZ,,002304,open,order_50627394,127.77,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,197,,100,,SH,,600109,open,order_82957140,9.94,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,198,,100,,SZ,,000540,open,order_64398152,7.35,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,199,,100,,SH,,601628,open,order_39504267,30.32,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,200,,100,,SH,,600340,open,order_64359810,43.61,2018-01-29,fix,test0_71059834,filled,100
2018-01-30,0,,100,,SZ,,002594,close,order_98571304,63.45,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,1,,100,,SZ,,002202,open,order_63258109,18.29,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,2,,100,,SZ,,000983,open,order_75390482,10.72,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,3,,100,,SZ,,000627,close,order_46027583,8.14,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,4,,100,,SZ,,002839,close,order_49356218,10.59,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,5,,100,,SH,,600887,close,order_17528439,33.33,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,6,,100,,SH,,600893,open,order_19672548,25.69,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,7,,100,,SH,,600804,close,order_04685712,16.59,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,8,,100,,SH,,600519,close,order_67352401,742.08,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,9,,100,,SH,,600549,close,order_94120567,25.85,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,10,,100,,SZ,,002572,close,order_60918532,37.6,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,11,,100,,SZ,,300122,close,order_26957843,29.21,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,12,,100,,SZ,,002008,close,order_01729453,50.02,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,13,,100,,SZ,,000858,close,order_83629470,81.4,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,14,,100,,SH,,600029,open,order_76029418,11.77,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,15,,100,,SH,,600482,open,order_49873621,24.2,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,16,,100,,SZ,,002304,close,order_69517834,124.99,2018-01-30,fix,test0_71059834,filled,100
2018-01-30,17,,100,,SH,,601628,close,order_85296103,30.0,2018-01-30,fix,test0_71059834,filled,100
2018-01-31,0,,100,,SZ,,000725,close,order_06149578,6.08,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,1,,100,,SH,,600535,close,order_60295871,35.83,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,2,,100,,SH,,601669,close,order_43719826,7.33,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,3,,100,,SZ,,002065,close,order_72985314,7.86,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,4,,100,,SH,,600362,open,order_98367041,20.74,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,5,,100,,SH,,601318,close,order_26108543,75.08,2018-01-31,fix,test0_71059834,filled,100
