,,deal_price,deal_time,deal_volume,direction,exchange,instrument,offset,order_id,trade_id
2018-03-27,4,16.238861999999997,2018-03-27,100,,SH,600637,close,order_62374109,deal_80436915
2018-03-27,5,28.672676999999993,2018-03-27,100,,SH,600036,close,order_37189406,deal_68439107
2018-03-28,0,65.30499300000001,2018-03-28,100,,SH,601318,close,order_16235749,deal_10693578
2018-03-28,1,13.132905000000001,2018-03-28,100,,SH,600895,close,order_69732501,deal_62385790
2018-03-28,2,26.097827,2018-03-28,100,,SZ,002411,open,order_30268497,deal_83947526
2018-03-28,3,5.422941000000002,2018-03-28,100,,SH,601718,close,order_87436510,deal_54926817
2018-03-28,4,60.499115,2018-03-28,100,,SZ,000423,close,order_69341872,deal_57492618
2018-03-28,5,27.808339999999998,2018-03-28,100,,SH,600893,open,order_92350876,deal_41536287
2018-03-28,6,5.922291000000001,2018-03-28,100,,SH,601727,close,order_06439571,deal_93256041
2018-03-28,7,18.135439,2018-03-28,100,,SH,600739,open,order_78193640,deal_68239015
2018-03-28,8,40.23955000000001,2018-03-28,100,,SZ,000503,close,order_39726081,deal_09245786
2018-03-28,9,22.786834,2018-03-28,100,,SH,600271,open,order_09318647,deal_50783926
2018-03-29,0,5.353032000000001,2018-03-29,100,,SH,600415,close,order_36804279,deal_23890147
2018-03-29,1,53.63019,2018-03-29,100,,SH,601888,close,order_47130869,deal_31249057
2018-03-29,2,17.835349,2018-03-29,100,,SZ,300070,open,order_30569842,deal_39720415
2018-03-29,3,10.413123,2018-03-29,100,,SH,601881,open,order_90865127,deal_20594183
2018-03-29,4,47.578068,2018-03-29,100,,SH,600009,close,order_12309476,deal_36517082
2018-03-29,5,41.427765,2018-03-29,100,,SZ,002415,close,order_08241739,deal_58602341
2018-03-29,6,33.539615000000005,2018-03-29,100,,SZ,300124,close,order_37250941,deal_69485713
2018-03-29,7,26.317892999999998,2018-03-29,100,,SH,600549,open,order_38692547,deal_29378510
2018-03-29,8,6.801146999999999,2018-03-29,100,,SH,600011,close,order_69718253,deal_97543160
2018-03-30,0,16.77816,2018-03-30,100,,SH,600406,close,order_18530692,deal_56821790
2018-03-30,1,10.563168000000001,2018-03-30,100,,SZ,002465,open,order_42389576,deal_36850214
2018-03-30,2,18.082835,2018-03-30,100,,SZ,002202,close,order_82905163,deal_06985423
2018-03-30,3,20.90627,2018-03-30,100,,SZ,300144,open,order_26348179,deal_42076598
2018-03-30,4,72.88185800000001,2018-03-30,100,,SZ,000938,open,order_31024879,deal_36741025
2018-03-30,5,35.380610999999995,2018-03-30,100,,SZ,300124,open,order_31582790,deal_67120395
2018-03-30,6,12.733818999999999,2018-03-30,100,,SH,600061,open,order_32756491,deal_87643025
2018-03-30,7,20.736219000000002,2018-03-30,100,,SZ,002310,open,order_21369580,deal_48695071
2018-03-30,8,6.942082,2018-03-30,100,,SZ,300315,open,order_43092658,deal_34759102
2018-03-30,9,22.026606,2018-03-30,100,,SZ,002074,open,order_28371604,deal_49026583
2018-03-30,10,77.41321699999999,2018-03-30,100,,SZ,002460,open,order_29740351,deal_15976238
2018-03-30,11,33.500046999999995,2018-03-30,100,,SZ,002624,open,order_26418305,deal_09218635
2018-03-30,12,14.964488,2018-03-30,100,,SZ,300017,open,order_25904361,deal_34976528
2018-03-30,13,20.90627,2018-03-30,100,,SZ,300024,open,order_51623798,deal_91365842
2018-03-30,14,6.231869,2018-03-30,100,,SH,601118,open,order_35067281,deal_43578192
2018-04-02,0,60.75822199999999,2018-04-02,100,,SZ,002230,open,order_18679542,deal_50712346
2018-04-02,1,5.89233,2018-04-02,100,,SH,600688,close,order_57249806,deal_23061987
2018-04-02,2,95.59639000000001,2018-04-02,100,,SZ,000538,close,order_25803614,deal_07235194
2018-04-02,3,37.761325,2018-04-02,100,,SH,600588,open,order_07468539,deal_05329614
2018-04-02,4,7.10213,2018-04-02,100,,SZ,000961,open,order_60891342,deal_02591768
2018-04-02,5,25.651465,2018-04-02,100,,SZ,002411,close,order_14375698,deal_15920874
2018-04-02,6,95.878755,2018-04-02,100,,SH,603160,open,order_71458692,deal_36140895
2018-04-02,7,6.4116539999999995,2018-04-02,100,,SH,600028,close,order_35182609,deal_21067539
2018-04-02,8,10.983293999999999,2018-04-02,100,,SH,600100,open,order_87923516,deal_60172453
2018-04-02,9,53.175948,2018-04-02,100,,SZ,300033,open,order_95382107,deal_13902874
2018-04-02,10,33.51005,2018-04-02,100,,SZ,000002,open,order_68973012,deal_07459162
2018-04-02,11,44.292345000000005,2018-04-02,100,,SH,600196,close,order_52193804,deal_63271459
2018-04-02,12,43.423023,2018-04-02,100,,SZ,000503,open,order_62914783,deal_12739658
2018-04-02,13,14.224266,2018-04-02,100,,SH,601198,open,order_79641058,deal_52867319
2018-04-02,14,25.657695,2018-04-02,100,,SH,600482,open,order_05491672,deal_12765039
2018-04-03,0,16.514953000000002,2018-04-03,100,,SZ,000738,open,order_95671034,deal_16783490
