,,account_id,available,pre_balance,total_balance
2018-05-28,1,test1_12769405,1000.0,0,1000.0
2018-05-29,0,test0_04716358,1743706.869957612,0,1961333.6093901843
2018-05-29,1,test1_12769405,1000.0,0,1000.0
2018-05-30,0,test0_04716358,1784249.7447143914,0,1956016.3069103523
2018-05-30,1,test1_12769405,1000.0,0,1000.0
2018-05-31,0,test0_04716358,1707070.2466114163,0,1960800.4531695845
2018-05-31,1,test1_12769405,1000.0,0,1000.0
2018-06-01,0,test0_04716358,1757221.0337681344,0,1955693.1676011353
2018-06-01,1,test1_12769405,1000.0,0,1000.0
2018-06-04,0,test0_04716358,1738815.182496292,0,1960396.088778391
2018-06-04,1,test1_12769405,1000.0,0,1000.0
2018-06-05,0,test0_04716358,1704825.1699471,0,1962159.7243907535
2018-06-05,1,test1_12769405,1000.0,0,1000.0
2018-06-06,0,test0_04716358,1659103.81529703,0,1962725.947169506
2018-06-06,1,test1_12769405,1000.0,0,1000.0
2018-06-07,0,test0_04716358,1644022.561429371,0,1961855.3398670526
2018-06-07,1,test1_12769405,1000.0,0,1000.0
2018-06-08,0,test0_04716358,1600619.0737375065,0,1959386.1382880805
2018-06-08,1,test1_12769405,1000.0,0,1000.0
2018-06-11,0,test0_04716358,1504209.9077588287,0,1961034.1800252781
2018-06-11,1,test1_12769405,1000.0,0,1000.0
2018-06-12,0,test0_04716358,1543560.6491725703,0,1969619.3664883007
2018-06-12,1,test1_12769405,1000.0,0,1000.0
2018-06-13,0,test0_04716358,1597862.8049305636,0,1963825.1500181814
2018-06-13,1,test1_12769405,1000.0,0,1000.0
2018-06-14,0,test0_04716358,1640456.9217375198,0,1961192.951528517
2018-06-14,1,test1_12769405,1000.0,0,1000.0
2018-06-15,0,test0_04716358,1701134.1353185815,0,1958625.9554448451
2018-06-15,1,test1_12769405,1000.0,0,1000.0
2018-06-19,0,test0_04716358,1799056.837780002,0,1948175.3095800476
2018-06-19,1,test1_12769405,1000.0,0,1000.0
2018-06-20,0,test0_04716358,1840455.169813642,0,1949103.8195648591
2018-06-20,1,test1_12769405,1000.0,0,1000.0
2018-06-21,0,test0_04716358,1871194.368458446,0,1948347.661698299
2018-06-21,1,test1_12769405,1000.0,0,1000.0
2018-06-22,0,test0_04716358,1887617.6667783596,0,1948003.5250854846
2018-06-22,1,test1_12769405,1000.0,0,1000.0
2018-06-25,0,test0_04716358,1892203.1630417274,0,1947078.4187390725
2018-06-25,1,test1_12769405,1000.0,0,1000.0
2018-06-26,0,test0_04716358,1881557.2745741564,0,1946256.6321278014
2018-06-26,1,test1_12769405,1000.0,0,1000.0
2018-06-27,0,test0_04716358,1864752.5880107477,0,1944205.608435934
2018-06-27,1,test1_12769405,1000.0,0,1000.0
2018-06-28,0,test0_04716358,1841877.493825646,0,1943471.0322191801
2018-06-28,1,test1_12769405,1000.0,0,1000.0
2018-06-29,0,test0_04716358,1791324.6432888114,0,1946910.8781267921
2018-06-29,1,test1_12769405,1000.0,0,1000.0
2018-07-02,0,test0_04716358,1761945.7691738396,0,1945528.4246031803
2018-07-02,1,test1_12769405,1000.0,0,1000.0
2018-07-03,0,test0_04716358,1768423.8589698866,0,1947264.0065024216
2018-07-03,1,test1_12769405,1000.0,0,1000.0
2018-07-04,0,test0_04716358,1753156.4330793482,0,1942861.6926080377
2018-07-04,1,test1_12769405,1000.0,0,1000.0
2018-07-05,0,test0_04716358,1768369.3165107546,0,1937275.3547341349
2018-07-05,1,test1_12769405,1000.0,0,1000.0
2018-07-06,0,test0_04716358,1809442.504827342,0,1937593.6797995933
2018-07-06,1,test1_12769405,1000.0,0,1000.0
